id,aleman,articulo ,palabra,traducción,tema,ejemplo (aleman),ejemplo (ingles),plural,femenino
585,Die Schriftstellerin,die (feminin),Schriftstellerin,The (Female) Writer,Arts & Entertainment,Die Schriftstellerin hat einen neuen Roman veröffentlicht.,The female writer has published a new novel.,Schriftstellerinnen,Schriftstellerin
586,Die Seite,die (feminin),Seite,The Page,Arts & Entertainment,Das Buch hat über 300 Seiten.,The book has over 300 pages.,Seiten,—
587,Figur,die (feminin),Figur,Figure,Arts & Entertainment,Die Hauptfigur in diesem Roman ist sehr mutig.,The main character in this novel is very brave.,Figuren,—
588,Übersetzung,die (feminin),Übersetzung,Translation,Arts & Entertainment,Die Übersetzung ist fertig.,The translation is finished.,Übersetzungen,Übersetzung
589,Veröffentlichen,Verb,Veröffentlichen,To Publish,Arts & Entertainment,"Der Autor plant, nächstes Jahr ein neues Buch zu veröffentlichen.",The author plans to publish a new book next year.,—,—
590,Das Budget,das (neutrum),Budget,The Budget,Business & Finance,Wir müssen das Budget für das Projekt planen.,We need to plan the budget for the project.,Budgets,—
591,Das Marketing,das (neutrum),Marketing,Marketing,Business & Finance,Die Marketingabteilung hat eine neue Kampagne gestartet.,The marketing department launched a new campaign.,—,—
592,Das Produkt,das (neutrum),Produkt,Product,Business & Finance,Das Produkt ist neu.,The product is new.,Produkte,—
593,Das Team,das (neutrum),Team,The Team,Business & Finance,"Das Team arbeitet eng zusammen, um das Projekt abzuschließen.",The team works closely together to complete the project.,Teams,—
594,Das Unternehmen,das (neutrum),Unternehmen,The Company,Business & Finance,Das Unternehmen expandiert international.,The company is expanding internationally.,Unternehmen,—
595,Das Wachstum,das (neutrum),Wachstum,Growth,Business & Finance,Das Wachstum ist stark.,The growth is strong.,—,—
596,Der Arbeiter,der (maskulin),Arbeiter,Worker,Business & Finance,Der Arbeiter ist müde.,The worker is tired.,Arbeiter,Arbeiterin
597,Der Arbeitgeber,der (maskulin),Arbeitgeber,The Employer,Business & Finance,Mein Arbeitgeber bietet flexible Arbeitszeiten an.,My employer offers flexible working hours.,Arbeitgeber,Arbeitgeberin
598,Der Arbeitnehmer,der (maskulin),Arbeitnehmer,The Employee,Business & Finance,Tina ist eine fleißige Arbeitnehmerin.,Tina is a hard-working employee.,Arbeitnehmer,Arbeitnehmerin
599,Der Arbeitsvertrag,der (maskulin),Arbeitsvertrag,The Employment Contract,Business & Finance,Ich habe den Arbeitsvertrag gestern unterschrieben.,I signed the employment contract yesterday.,Arbeitsverträge,—
600,Der Auftrag,der (maskulin),Auftrag,Order,Business & Finance,Wir haben einen neuen Auftrag.,We have a new order.,Aufträge,—
601,Der Brief,der (maskulin),Brief,Letter,Business & Finance,Ich schreibe einen Brief.,I am writing a letter.,Briefe,—
602,Der Briefumschlag,der (maskulin),Briefumschlag,Envelope,Business & Finance,Ich brauche einen Briefumschlag.,I need an envelope.,Briefumschläge,—
603,Der Gewinn,der (maskulin),Gewinn,The Profit,Business & Finance,Unser Gewinn ist dieses Quartal gestiegen.,Our profit increased this quarter.,Gewinne,—
604,Der Leiter,der (maskulin),Leiter,The Manager / Team Leader,Business & Finance,Der Projektleiter hat das Meeting geleitet.,The project manager led the meeting.,Leiter,—
605,Der Lieferant,der (maskulin),Lieferant,The Supplier,Business & Finance,Wir warten auf die Lieferung vom Lieferanten.,We are waiting for the delivery from the supplier.,Lieferanten,Lieferantin
606,Der Termin,der (maskulin),Termin,Appointment,Business & Finance,Ich habe einen Termin um zehn.,I have an appointment at ten.,Termine,—
607,Der Umsatz,der (maskulin),Umsatz,The Revenue / Turnover,Business & Finance,Der Umsatz ist im letzten Jahr um 15 % gestiegen.,Revenue increased by 15% last year.,Umsätze,—
608,Der Verkauf,der (maskulin),Verkauf,The Sale,Business & Finance,Die Verhandlungen mit dem neuen Kunden waren erfolgreich.,The negotiations with the new client were successful.,—,—
609,Der Verlust,der (maskulin),Verlust,The Loss,Business & Finance,Der Verkauf unserer Produkte läuft gut.,The sale of our products is going well.,Verluste,—
610,Der Wert,der (maskulin),Wert,Value,Business & Finance,Das Haus hat einen hohen Wert.,The house has a high value.,Werte,—
611,Die Arbeit,die (feminin),Arbeit,Work,Business & Finance,Die Arbeit macht Spaß.,The work is fun.,— (Unzählbar),Arbeit
612,Die Beförderung,die (feminin),Beförderung,The Promotion,Business & Finance,Sie hofft auf eine Beförderung im nächsten Jahr.,She hopes for a promotion next year.,Beförderungen,Beförderung
613,Die Bewerbung,die (feminin),Bewerbung,The Application,Business & Finance,Er hat seine Bewerbung an mehrere Unternehmen geschickt.,He sent his application to several companies.,Bewerbungen,Bewerbung
614,Die Dienstleistung,die (feminin),Dienstleistung,Service,Business & Finance,Wir bieten gute Dienstleistungen an.,We offer good services.,Dienstleistungen,Dienstleistung
615,Die Fortbildung,die (feminin),Fortbildung,The Further Training / Professional Development,Business & Finance,"Die Fortbildung hilft uns, neue Fähigkeiten zu erlernen.",The professional development helps us learn new skills.,Fortbildungen,Fortbildung
616,Die Industrie,die (feminin),Industrie,Industry,Business & Finance,Die Industrie wächst.,The industry is growing.,Industrien,Industrie
617,Die Investition,die (feminin),Investition,The Investment,Business & Finance,Das Unternehmen plant eine Investition in neue Technologien.,The company plans an investment in new technologies.,Investitionen,Investition
618,Die Karriere,die (feminin),Karriere,Career,Business & Finance,Sie macht Karriere.,She is making a career.,Karrieren,Karriere
619,Die Krawatte,die (feminin),Krawatte,Tie,Business & Finance,Die Krawatte passt zum Hemd.,The tie matches the shirt.,Krawatten,Krawatte
620,Die Kündigungsfrist,die (feminin),Kündigungsfrist,The Notice Period,Business & Finance,Die Kündigungsfrist beträgt vier Wochen.,The notice period is four weeks.,Kündigungsfristen,Kündigungsfrist
621,Die Marke,die (feminin),Marke,Brand,Business & Finance,Welche Marke ist das?,What brand is that?,Marken,Marke
622,Die Möglichkeit,die (feminin),Möglichkeit,Opportunity,Business & Finance,Es gibt keine andere Möglichkeit.,There is no other possibility.,Möglichkeiten,Möglichkeit
623,Die Nachfrage,die (feminin),Nachfrage,Demand,Business & Finance,Die Nachfrage ist groß.,The demand is high.,—,Nachfrage
624,Die Schulung,die (feminin),Schulung,The Training (Course),Business & Finance,Die neue Software erfordert eine Schulung.,The new software requires training.,Schulungen,—
625,Die Steuer,die (feminin),Steuer,Tax,Business & Finance,Wir müssen Steuern zahlen.,We have to pay taxes.,Steuern,—
626,Die Vereinbarung,die (feminin),Vereinbarung,The Agreement,Business & Finance,Wir haben eine Vereinbarung mit dem Partnerunternehmen getroffen.,We made an agreement with the partner company.,Vereinbarungen,—
627,Die Verhandlung,die (feminin),Verhandlung,The Negotiation,Business & Finance,Das Projekt führte zu einem finanziellen Verlust.,The project resulted in a financial loss.,Verhandlungen,—
628,Einstellen (Separable),Verb,Einstellen (Separable),To Hire,Business & Finance,Wir stellen nächsten Monat drei neue Mitarbeiter ein.,We are hiring three new employees next month.,—,—
629,Investieren,Verb,Investieren,To Invest,Business & Finance,Das Unternehmen investiert in neue Technologien.,The company invests in new technologies.,—,—
630,Präsentieren,Verb,Präsentieren,To Present,Business & Finance,Sie wird das Projekt präsentieren.,She will present the project.,—,—
631,Unterschreiben,Verb,Unterschreiben,To Sign,Business & Finance,Bitte unterschreiben Sie den Vertrag.,Please sign the contract.,—,—
632,Verhandeln,Verb,Verhandeln,To Negotiate,Business & Finance,Wir verhandeln über die neuen Konditionen.,We are negotiating the new terms.,—,—
633,Verkaufen,Verb,Verkaufen,To Sell,Business & Finance,Er will sein Haus verkaufen.,He wants to sell his house.,—,—
634,Sich Bewerben (Reflexive),Verb (reflexiv),Sich Bewerben (Reflexive),To Apply (For A Job),Business & Finance,Sie bewirbt sich um die Stelle als Projektleiterin.,She is applying for the position of project manager.,—,—
635,Das Automatikgetriebe,das (neutrum),Automatikgetriebe,The Automatic Transmission,Travel & Transportation,Mein neues Auto hat ein Automatikgetriebe.,My new car has an automatic transmission.,Automatikgetriebe,—
636,Das Elektroauto,das (neutrum),Elektroauto,The Electric Car,Travel & Transportation,"Sie hat sich ein Elektroauto gekauft, um umweltfreundlich zu fahren.",She bought an electric car to drive more eco-friendly.,Elektroautos,—
637,Das Gaspedal,das (neutrum),Gaspedal,The Accelerator,Travel & Transportation,"Drücke das Gaspedal vorsichtig, um gleichmäßig zu beschleunigen.",Press the accelerator carefully for smooth acceleration.,Gaspedale,—
638,Das Kupplungspedal,das (neutrum),Kupplungspedal,The Clutch Pedal,Travel & Transportation,"Du musst das Kupplungspedal durchdrücken, um zu schalten.",You must press the clutch pedal down to shift gears.,Kupplungspedale,—
639,Das Lenkrad,das (neutrum),Lenkrad,The Steering Wheel,Travel & Transportation,Halte das Lenkrad immer mit beiden Händen.,Always hold the steering wheel with both hands.,Lenkräder,—
640,Das Nummernschild,das (neutrum),Nummernschild,The License Plate,Travel & Transportation,Das Nummernschild zeigt das Kennzeichen meines Autos.,The license plate shows my car’s registration.,Nummernschilder,—
641,Das Schaltgetriebe,das (neutrum),Schaltgetriebe,The Manual Transmission,Travel & Transportation,Viele Fahrer bevorzugen ein Schaltgetriebe.,Many drivers prefer a manual transmission.,Schaltgetriebe,—
642,Das Verkehrszeichen,das (neutrum),Verkehrszeichen,The Traffic Sign,Travel & Transportation,Das Verkehrszeichen warnt vor einer scharfen Kurve.,The traffic sign warns of a sharp curve.,Verkehrszeichen,—
643,Der Airbag,der (maskulin),Airbag,The Airbag,Travel & Transportation,Der Airbag schützt den Fahrer bei einem Unfall.,The airbag protects the driver during an accident.,Airbags,—
644,Der Blinker,der (maskulin),Blinker,The Turn Signal / Indicator,Travel & Transportation,Setze immer rechtzeitig den Blinker beim Abbiegen.,Always use your turn signal in time when turning.,Blinker,—
645,Der Kraftstoff,der (maskulin),Kraftstoff,The Fuel,Travel & Transportation,Der Kraftstoff wird immer teurer.,Fuel is getting more expensive.,Kraftstoffe,—
646,Der Sicherheitsgurt,der (maskulin),Sicherheitsgurt,The Seatbelt,Travel & Transportation,Bitte legen Sie den Sicherheitsgurt an.,Please fasten your seatbelt.,Sicherheitsgurte,—
647,Der Stau,der (maskulin),Stau,The Traffic Jam,Travel & Transportation,Auf dem Weg zur Arbeit stehe ich oft im Stau.,I often sit in a traffic jam on the way to work.,Staus,—
648,Der Wagen,der (maskulin),Wagen,The Vehicle / Car,Travel & Transportation,Mein Wagen ist schon zehn Jahre alt.,My vehicle is already ten years old.,Wagen,—
649,Die Autobahn,die (feminin),Autobahn,The Highway,Travel & Transportation,Auf der Autobahn darf man oft schneller fahren.,You can often drive faster on the highway.,Autobahnen,Autobahn
650,Die Bremse,die (feminin),Bremse,The Brake,Travel & Transportation,"Ich trete die Bremse, um zu stoppen.",I press the brake to stop.,Bremsen,Bremse
651,Die Fahrprüfung,die (feminin),Fahrprüfung,The Driving Test,Travel & Transportation,Ich habe meine Fahrprüfung beim zweiten Versuch bestanden.,I passed my driving test on the second try.,Fahrprüfungen,Fahrprüfung
652,Die Fahrspur,die (feminin),Fahrspur,The Lane,Travel & Transportation,"Wechsle die Fahrspur nur, wenn es sicher ist.",Change lanes only when it is safe.,Fahrspuren,Fahrspur
653,Die Geschwindigkeitsbegrenzung,die (feminin),Geschwindigkeitsbegrenzung,The Speed Limit,Travel & Transportation,Die Geschwindigkeitsbegrenzung ist hier 50 km/h.,The speed limit is 50 km/h here.,Geschwindigkeitsbegrenzungen,Geschwindigkeitsbegrenzung
654,Die Handbremse,die (feminin),Handbremse,The Handbrake,Travel & Transportation,"Vergiss nicht, die Handbremse vor der Fahrt zu lösen.",Don’t forget to release the handbrake before driving.,Handbremsen,Handbremse
655,Die Hupe,die (feminin),Hupe,The Horn,Travel & Transportation,Nutzt die Hupe nur in Gefahrensituationen.,Use the horn only in dangerous situations.,Hupen,Hupe
656,Die Tankstelle,die (feminin),Tankstelle,The Gas Station,Travel & Transportation,"Ich halte an der Tankstelle, um zu tanken.",I stop at the gas station to refuel.,Tankstellen,—
657,Die Vorfahrt,die (feminin),Vorfahrt,The Right Of Way,Travel & Transportation,Hier hat der Gegenverkehr Vorfahrt.,"On this road, oncoming traffic has the right of way.",—,—
658,Lustig,adjektiv,Lustig,Funny,Arts & Entertainment,Der Film war sehr lustig.,The movie was very funny.,—,—
659,Spannend,adjektiv,Spannend,Exciting,Arts & Entertainment,Die Handlung war sehr spannend.,The plot was very exciting.,—,—
660,Traurig,adjektiv,Traurig,Sad,Arts & Entertainment,Das Ende des Films war sehr traurig.,The ending of the movie was very sad.,—,—
661,Das Drama,das (neutrum),Drama,The Drama,Arts & Entertainment,Das Drama gewann viele Preise.,The drama won many awards.,Dramen,—
662,Das Drehbuch,das (neutrum),Drehbuch,The Screenplay,Arts & Entertainment,Das Drehbuch wurde von einem berühmten Autor geschrieben.,The screenplay was written by a famous author.,Drehbücher,—
663,Das Genre,das (neutrum),Genre,The Genre,Arts & Entertainment,Horror ist nicht mein Lieblingsgenre.,Horror is not my favorite genre.,Genres,—
664,Das Kino,das (neutrum),Kino,The Cinema,Arts & Entertainment,Wir treffen uns um 7 Uhr vor dem Kino.,We’ll meet at 7 o’clock in front of the cinema.,Kinos,—
665,Das Popcorn,das (neutrum),Popcorn,The Popcorn,Arts & Entertainment,Ich kaufe immer Popcorn im Kino.,I always buy popcorn at the cinema.,—,—
666,Der Abspann,der (maskulin),Abspann,The End Credits,Arts & Entertainment,"Wir blieben sitzen, um den Abspann zu sehen.",We stayed seated to watch the end credits.,—,—
667,Der Actionfilm,der (maskulin),Actionfilm,The Action Movie,Arts & Entertainment,Mein Bruder liebt Actionfilme.,My brother loves action movies.,Actionfilme,—
668,Der Film,der (maskulin),Film,The Movie,Arts & Entertainment,Hast du den neuen Film gesehen?,Have you seen the new movie?,Filme,—
669,Der Horrorfilm,der (maskulin),Horrorfilm,The Horror Film,Arts & Entertainment,Der Horrorfilm war sehr gruselig.,The horror film was very scary.,Horrorfilme,—
670,Der Regisseur,der (maskulin),Regisseur,The Director,Arts & Entertainment,Der Regisseur ist für seinen einzigartigen Stil bekannt.,The director is known for his unique style.,Regisseure,Regisseurin
671,Der Schauspieler,der (maskulin),Schauspieler,The Actor,Arts & Entertainment,Der Schauspieler hat eine großartige Leistung erbracht.,The actor gave a great performance.,Schauspieler,Schauspielerin
672,Der Sitzplatz,der (maskulin),Sitzplatz,The Seat,Arts & Entertainment,Unsere Sitzplätze sind in der Mitte.,Our seats are in the middle.,Sitzplätze,—
673,Der Soundtrack,der (maskulin),Soundtrack,The Soundtrack,Arts & Entertainment,Der Soundtrack des Films ist fantastisch.,The movie’s soundtrack is fantastic.,Soundtracks,—
674,Der Titel,der (maskulin),Titel,The Title,Arts & Entertainment,Wie lautet der Titel des Films?,What is the title of the movie?,Titel,—
675,Der Trailer,der (maskulin),Trailer,The Trailer,Arts & Entertainment,Hast du den neuen Trailer gesehen?,Did you see the new trailer?,Trailers,—
676,Der Zuschauer,der (maskulin),Zuschauer,The Viewer,Arts & Entertainment,Die Zuschauer waren begeistert.,The viewers were thrilled.,Zuschauer,—
677,Die Kamera,die (feminin),Kamera,The Camera,Arts & Entertainment,Die Kameraarbeit in diesem Film ist beeindruckend.,The cinematography in this film is impressive.,Kameras,Kamera
678,Die Komödie,die (feminin),Komödie,The Comedy,Arts & Entertainment,Die Komödie hat uns zum Lachen gebracht.,The comedy made us laugh.,Komödien,Komödie
679,Die Leinwand,die (feminin),Leinwand,The Screen,Arts & Entertainment,Der Film wurde auf einer großen Leinwand gezeigt.,The movie was shown on a big screen.,Leinwände,Leinwand
