id,aleman,articulo ,palabra,traducción,tema,ejemplo (aleman),ejemplo (ingles),plural,femenino
744,Die Mailbox,die (feminin),Mailbox,The Voicemail,Communication,"Meine Mailbox ist voll, ich muss Nachrichten löschen.","My voicemail is full, I need to delete messages.",Mailboxes,Mailbox
745,Die Rufnummer,die (feminin),Rufnummer,The Phone Number,Communication,Können Sie mir Ihre Rufnummer geben?,Can you give me your phone number?,Rufnummern,Rufnummer
746,Die Weiterleitung,die (feminin),Weiterleitung,The Call Forwarding,Communication,Ich habe die Anrufe auf mein Handy weitergeleitet.,I forwarded the calls to my mobile phone.,—,—
747,Das Backblech,das (neutrum),Backblech,The Baking Tray,Cooking,Ich lege das Backpapier auf das Backblech.,I put baking paper on the baking tray.,Backbleche,—
748,Das Mehl,das (neutrum),Mehl,The Flour,Cooking,Ich wiege das Mehl für den Kuchen ab.,I measure the flour for the cake.,—,—
749,Das Öl,das (neutrum),Öl,The Oil,Cooking,Wir verwenden Olivenöl zum Anbraten.,We use olive oil for frying.,—,—
750,Das Salz,das (neutrum),Salz,The Salt,Cooking,Eine Prise Salz gehört in jeden Teig.,A pinch of salt goes into every dough.,—,—
751,Das Sieb,das (neutrum),Sieb,The Sieve,Cooking,"Wir verwenden ein Sieb, um das Mehl zu sieben.",We use a sieve to sift the flour.,Siebe,—
752,Braten,der (maskulin),Braten,To Fry,Cooking,Man soll das Fleisch in der Pfanne braten.,You should fry the meat in the pan.,Braten,—
753,Der Apfelstrudel,der (maskulin),Apfelstrudel,The Apple Strudel,Cooking,Der Apfelstrudel duftet nach Zimt und Zucker.,The apple strudel smells of cinnamon and sugar.,Apfelstrudel,—
754,Der Kochlöffel,der (maskulin),Kochlöffel,The Cooking Spoon,Cooking,Mit dem Kochlöffel rühre ich die Sauce um.,I stir the sauce with the cooking spoon.,Kochlöffel,—
755,Der Sauerbraten,der (maskulin),Sauerbraten,The Sour Roast,Cooking,Wir bereiten heute einen traditionellen Sauerbraten zu.,We are preparing a traditional sour roast today.,—,—
756,Der Schneebesen,der (maskulin),Schneebesen,The Whisk,Cooking,Mit dem Schneebesen schlägt man das Eiweiß steif.,You use the whisk to beat egg whites until stiff.,Schneebesen,—
757,Der Teig,der (maskulin),Teig,The Dough,Cooking,Der Teig muss eine halbe Stunde ruhen.,The dough needs to rest for half an hour.,—,—
758,Der Topf,der (maskulin),Topf,The Pot,Cooking,Er erhitzt die Suppe im Topf.,He heats the soup in the pot.,Töpfe,—
759,Der Zucker,der (maskulin),Zucker,The Sugar,Cooking,Gib einen Löffel Zucker zum süßen hinzu.,Add a spoon of sugar to sweeten it.,—,—
760,Die Schwarzwälder Kirschtorte,der (maskulin),Schwarzwälder,The Black Forest Cake,Cooking,Die Schwarzwälder Kirschtorte ist ein berühmter deutscher Kuchen.,The Black Forest cake is a famous German cake.,—,—
761,Die Brezel,die (feminin),Brezel,The Pretzel,Cooking,Die frisch gebackene Brezel schmeckt sehr gut.,The freshly baked pretzel tastes very good.,Brezeln,Brezel
762,Die Hefe,die (feminin),Hefe,The Yeast,Cooking,Die Hefe hilft dem Teig beim Aufgehen.,The yeast helps the dough to rise.,— (Unzählbar),Hefe
763,Die Kartoffelsuppe,die (feminin),Kartoffelsuppe,The Potato Soup,Cooking,Meine Oma kocht oft eine leckere Kartoffelsuppe.,My grandma often cooks a tasty potato soup.,Kartoffelsuppen,Kartoffelsuppe
764,Die Küchenwaage,die (feminin),Küchenwaage,The Kitchen Scale,Cooking,Die Küchenwaage zeigt genau 200 Gramm an.,The kitchen scale shows exactly 200 grams.,Küchenwaagen,Küchenwaage
765,Die Pfanne,die (feminin),Pfanne,The Frying Pan,Cooking,"Er erhitzt die Pfanne, bevor er das Fleisch hinzufügt.",He heats up the frying pan before adding the meat.,Pfannen,Pfanne
766,Die Sahne,die (feminin),Sahne,The Cream,Cooking,"Füge Sahne hinzu, um die Sauce cremig zu machen.",Add cream to make the sauce creamy.,—,—
767,Die Gewürze,Plural,Gewürze,The Spices,Cooking,Die Gewürze verleihen der Suppe ein intensives Aroma.,The spices give the soup an intense flavor.,—,—
768,Mischen,Verb,Mischen,To Mix,Cooking,Bitte mische alle Zutaten gut durch.,Please mix all the ingredients thoroughly.,—,—
769,Umrühren,Verb,Umrühren,To Stir,Cooking,Man sollte die Sauce regelmäßig umrühren.,You should stir the sauce regularly.,—,—
770,Würzen,Verb,Würzen,To Season,Cooking,Bitte würze die Suppe nach deinem Geschmack.,Please season the soup to your taste.,—,—
771,Das Abendessen,das (neutrum),Abendessen,The Dinner,Daily Routine,Wir essen um 19 Uhr zu Abend.,We have dinner at 7 PM.,Abendessen,—
772,Das Frühstück,das (neutrum),Frühstück,The Breakfast,Daily Routine,Zum Frühstück esse ich Müsli.,I eat muesli for breakfast.,Frühstücke,—
773,Das Hobby,das (neutrum),Hobby,The Hobby,Daily Routine,Sein Hobby ist das Fotografieren.,His hobby is photography.,Hobbys,—
774,Das Mittagessen,das (neutrum),Mittagessen,The Lunch,Daily Routine,Das Mittagessen gibt es um 12 Uhr.,Lunch is served at 12 PM.,Mittagessen,—
775,Fernsehen,das (neutrum)/Verb,Fernsehen,To Watch Tv,Daily Routine,Abends sehe ich oft fern.,I often watch television in the evening.,—,—
776,Der Abend,der (maskulin),Abend,The Evening,Daily Routine,Am Abend gehe ich spazieren.,I go for a walk in the evening.,Abende,—
777,Der Mittag,der (maskulin),Mittag,The Midday,Daily Routine,Ich gehe in der Mittagspause spazieren.,I go for a walk at lunchtime.,—,—
778,Der Nachmittag,der (maskulin),Nachmittag,The Afternoon,Daily Routine,Am Nachmittag mache ich Sport.,I do sport in the afternoon.,Nachmittage,—
779,Der Tag,der (maskulin),Tag,The Day,Daily Routine,Heute ist ein schöner Tag.,Today is a beautiful day.,Tage,—
780,Der Tagesablauf,der (maskulin),Tagesablauf,The Daily Routine,Daily Routine,Mein Tagesablauf ist immer gleich.,My daily routine is always the same.,Tagesabläufe,—
781,Der Morgen,der (maskulin)/das (neutrum),Morgen,The Morning,Daily Routine,Ich trinke immer Kaffee am Morgen.,I always drink coffee in the morning.,Morgen/Morgen,—
782,Die Nacht,die (feminin),Nacht,The Night,Daily Routine,Manchmal höre ich in der Nacht Eulen.,I sometimes hear owls at night.,Nächte,Nacht
783,Nach Hause Kommen,Phrase,Nach Hause Kommen,To Come Home,Daily Routine,Ich komme um 18 Uhr nach Hause.,I come home at 6 PM.,—,—
784,Schlafen Gehen,Phrase,Schlafen Gehen,To Go To Sleep,Daily Routine,Ich gehe um 22 Uhr schlafen.,I go to sleep at 10 PM.,—,—
785,Zu Abend Essen,Phrase,Zu Abend Essen,To Have Dinner,Daily Routine,"Wir essen zu Abend, nachdem wir nach Hause kommen.",We have dinner after we come home.,—,—
786,Zu Mittag Essen,Phrase,Zu Mittag Essen,To Have Lunch,Daily Routine,Wir essen zu Mittag in einem Restaurant.,We have dinner at 7 PM.,—,—
787,Zur Arbeit Gehen,Phrase,Zur Arbeit Gehen,To Go To Work,Daily Routine,Ich gehe um 8 Uhr zur Arbeit.,I go to work at 8 AM.,—,—
788,Zur Schule Gehen,Phrase,Zur Schule Gehen,To Go To School,Daily Routine,Die Kinder gehen um 7:30 Uhr zur Schule.,The children go to school at 7:30 AM.,—,—
789,Aufstehen,Verb,Aufstehen,To Get Up,Daily Routine,Ich stehe jeden Morgen um 6 Uhr auf.,I get up every morning at 6 AM.,—,—
790,Aufwachen,Verb,Aufwachen,To Wake Up,Daily Routine,Ich wache meistens vor dem Wecker auf.,I usually wake up before the alarm.,—,—
791,Frühstücken,Verb,Frühstücken,To Have Breakfast,Daily Routine,Wir frühstücken um 8 Uhr.,We have breakfast at 8 AM.,—,—
792,Lernen,Verb,Lernen,To Learn,Daily Routine,Sie lernt jeden Tag Deutsch.,She studies German every day.,—,—
793,Sich Ausruhen,Verb (reflexiv),Sich Ausruhen,To Rest,Daily Routine,Nach der Arbeit ruhe ich mich aus.,"After work, I take a rest.",—,—
794,Arbeiten,Verb/Nomen,Arbeiten,To Work,Daily Routine,Er arbeitet in einem Büro.,He works in an office.,Arbeiten,—
795,Das Beispiel,das (neutrum),Beispiel,The Example,Education,Kannst du mir ein Beispiel geben?,Can you give me an example?,Beispiele,—
796,Das Lehrbuch,das (neutrum),Lehrbuch,The Textbook,Education,Das Lehrbuch kostet 30 Euro.,The textbook costs 30 euros.,Lehrbücher,—
797,Das Referat,das (neutrum),Referat,The Presentation,Education,Ich halte ein Referat über deutsche Geschichte.,I’m giving a presentation on German history.,Referate,—
798,Das Schulfach,das (neutrum),Schulfach,The School Subject,Education,Mein Lieblingsschulfach ist Biologie.,My favorite school subject is biology.,Schulfächer,—
799,Das Wörterbuch,das (neutrum),Wörterbuch,The Dictionary,Education,"Ich benutze ein Wörterbuch, um neue Wörter zu lernen.",I use a dictionary to learn new words.,Wörterbücher,—
800,Das Zeugnis,das (neutrum),Zeugnis,The Report Card,Education,Sie hat ein sehr gutes Zeugnis bekommen.,She received a very good report card.,Zeugnisse,—
801,Der Aufsatz,der (maskulin),Aufsatz,The Essay,Education,Ich muss einen Aufsatz über Umweltschutz schreiben.,I have to write an essay about environmental protection.,Aufsätze,—
802,Der Hochschulabschluss,der (maskulin),Hochschulabschluss,The University Degree,Education,Er hat seinen Hochschulabschluss in Informatik gemacht.,He earned his university degree in computer science.,Hochschulabschlüsse,—
803,Der Schreibtisch,der (maskulin),Schreibtisch,The Desk,Education,Mein Schreibtisch ist voller Bücher.,My desk is full of books.,Schreibtische,—
804,Der Schulabschluss,der (maskulin),Schulabschluss,The School Graduation,Education,Sie feiert ihren Schulabschluss im Juni.,She is celebrating her school graduation in June.,Schulabschlüsse,—
805,Der Test,der (maskulin),Test,The Test,Education,Der Test war schwieriger als erwartet.,The test was more difficult than expected.,Tests,—
806,Der Unterricht,der (maskulin),Unterricht,The Lesson,Education,Der Unterricht endet um 15 Uhr.,The lesson ends at 3 PM.,—,—
807,Der Lehrer/Die Lehrerin,der/die (maskulin/feminin),Lehrer/Die,The Teacher (Male/Female),Education,Die Lehrerin erklärt die Grammatik sehr gut.,The teacher explains the grammar very well.,Lehrer/Lehrerinnen,Lehrerin
808,Der Schüler/Die Schülerin,der/die (maskulin/feminin),Schüler/Die,The Student (Male/Female),Education,Die Schüler lernen für die Prüfungen.,The students are studying for the exams.,Schüler/Schülerinnen,Schülerin
809,Die Dozentin/Der Dozent,der/die (maskulin/feminin),Dozentin/Der,The Lecturer (Female/Male),Education,Der Dozent hält heute eine Vorlesung.,The lecturer is giving a lecture today.,Dozenten/Dozentinnen,Dozentin
810,Die Ausbildung,die (feminin),Ausbildung,The Training,Education,Sie macht eine Ausbildung zur Krankenschwester.,She is training to become a nurse.,Ausbildungen,Ausbildung
811,Die Bibliothek,die (feminin),Bibliothek,The Library,Education,Die Bibliothek ist bis 20 Uhr geöffnet.,The library is open until 8 PM.,Bibliotheken,Bibliothek
812,Die Forschung,die (feminin),Forschung,The Research,Education,Ihre Forschung konzentriert sich auf erneuerbare Energien.,Her research focuses on renewable energies.,—,Forschung
813,Die Grundschule,die (feminin),Grundschule,The Primary School,Education,Mein Sohn geht in die Grundschule.,My son attends primary school.,Grundschulen,Grundschule
814,Die Hausaufgabe,die (feminin),Hausaufgabe,The Homework,Education,Hast du die Hausaufgaben schon gemacht?,Have you done the homework yet?,Hausaufgaben,Hausaufgabe
815,Die Note,die (feminin),Note,The Grade,Education,Sie hat eine gute Note in Mathe bekommen.,She received a good grade in math.,Noten,Note
816,Die Oberschule,die (feminin),Oberschule,The Secondary School,Education,Nach der Grundschule geht er auf die Oberschule.,"After primary school, he goes to secondary school.",Oberschulen,Oberschule
817,Die Prüfung,die (feminin),Prüfung,The Exam,Education,Die Prüfung findet nächste Woche statt.,The exam takes place next week.,Prüfungen,Prüfung
818,Die Schule,die (feminin),Schule,The School,Education,Die Schule beginnt um 8 Uhr morgens.,School starts at 8 AM.,Schulen,—
819,Die Übung,die (feminin),Übung,The Exercise,Education,"Die Übung hilft, den Stoff besser zu verstehen.",The exercise helps to understand the material better.,Übungen,—
820,Die Universität,die (feminin),Universität,The University,Education,Er studiert an der Universität Berlin.,He studies at the University of Berlin.,Universitäten,—
821,Die Weiterbildung,die (feminin),Weiterbildung,The Further Education,Education,Sie macht eine Weiterbildung im Bereich Marketing.,She is doing further education in the field of marketing.,Weiterbildungen,—
822,Die Wissenschaft,die (feminin),Wissenschaft,The Science,Education,Die Wissenschaft entwickelt sich ständig weiter.,Science is constantly evolving.,Wissenschaften,—
823,Gefährlich,adjektiv,Gefährlich,Dangerous,Emergency,Die Straße ist gefährlich.,The road is dangerous.,—,—
824,Krank,adjektiv,Krank,Sick,Emergency,Ich fühle mich krank.,I feel sick.,—,—
825,Verletzt,adjektiv,Verletzt,Injured,Emergency,Er ist verletzt.,He is injured.,—,—
826,Die Erste Hilfe,adjektiv/Substantiv,Erste,The First Aid,Emergency,Kann jemand Erste Hilfe leisten?,Can someone provide first aid?,Ersten,Erste
827,Das Blut,das (neutrum),Blut,The Blood,Emergency,Er verliert viel Blut.,He is losing a lot of blood.,— (Unzählbar),—
828,Das Krankenhaus,das (neutrum),Krankenhaus,The Hospital,Emergency,Wo ist das nächste Krankenhaus?,Where is the nearest hospital?,Krankenhäuser,—
829,Das Problem,das (neutrum),Problem,The Problem,Emergency,Es gibt ein Problem hier.,There is a problem here.,Probleme,—
830,Der Arzt,der (maskulin),Arzt,The Doctor,Emergency,Ich muss zum Arzt gehen.,I need to see a doctor.,Ärzte,Ärztin
831,Der Brand,der (maskulin),Brand,The Fire,Emergency,Es gibt einen Brand im Gebäude.,There is a fire in the building.,Brände,—
832,Der Diebstahl,der (maskulin),Diebstahl,The Theft,Emergency,Ich möchte einen Diebstahl melden.,I want to report a theft.,Diebstähle,—
833,Der Feuerwehrmann,der (maskulin),Feuerwehrmann,The Firefighter,Emergency,Der Feuerwehrmann löscht das Feuer.,The firefighter is extinguishing the fire.,Feuerwehrleute,Feuerwehrfrau
834,Der Krankenwagen,der (maskulin),Krankenwagen,The Ambulance,Emergency,Rufen Sie einen Krankenwagen!,Call an ambulance!,Krankenwagen,—
835,Der Notfall,der (maskulin),Notfall,The Emergency,Emergency,Das ist ein Notfall!,This is an emergency!,Notfälle,—
836,Der Notruf,der (maskulin),Notruf,The Emergency Call,Emergency,Wählen Sie den Notruf 112.,Dial the emergency number 112.,Notrufe,—
837,Der Schmerz,der (maskulin),Schmerz,The Pain,Emergency,Ich habe starke Schmerzen.,I have severe pain.,Schmerzen,—
838,Der Unfall,der (maskulin),Unfall,The Accident,Emergency,Es gab einen Unfall auf der Straße.,There was an accident on the road.,Unfälle,—
839,Die Apotheke,die (feminin),Apotheke,The Pharmacy,Emergency,Wo ist die nächste Apotheke?,Where is the nearest pharmacy?,Apotheken,Apotheke
840,Die Feuerwehr,die (feminin),Feuerwehr,The Fire Department,Emergency,Rufen Sie die Feuerwehr an!,Call the fire department!,—,Feuerwehr
841,Die Gefahr,die (feminin),Gefahr,The Danger,Emergency,"Vorsicht, Gefahr!","Caution, danger!",—,Gefahr
842,Die Hilfe,die (feminin),Hilfe,The Help,Emergency,Ich brauche Hilfe!,I need help!,— (Unzählbar),Hilfe
843,Die Krankheit,die (feminin),Krankheit,The Illness,Emergency,Welche Krankheit haben Sie?,What illness do you have?,Krankheiten,Krankheit
844,Die Notaufnahme,die (feminin),Notaufnahme,The Emergency Room,Emergency,Er wurde in die Notaufnahme gebracht.,He was taken to the emergency room.,Notaufnahmen,Notaufnahme
845,Die Polizei,die (feminin),Polizei,The Police,Emergency,Wir müssen die Polizei informieren.,We need to inform the police.,—,Polizei
846,Die Rettung,die (feminin),Rettung,The Rescue,Emergency,Die Rettung kommt bald.,Rescue is coming soon.,—,Rettung
847,Die Verletzung,die (feminin),Verletzung,The Injury,Emergency,Die Verletzung ist nicht schwer.,The injury is not serious.,Verletzungen,—
848,Die Versicherung,die (feminin),Versicherung,The Insurance,Emergency,Haben Sie eine Versicherung?,Do you have insurance?,Versicherungen,—
849,Die Medikamente,Plural,Medikamente,The Medicines,Emergency,Ich muss meine Medikamente nehmen.,I need to take my medicines.,—,—
850,Bluten,Verb,Bluten,To Bleed,Emergency,Meine Hand blutet.,My hand is bleeding.,—,—
851,Brennen,Verb,Brennen,To Burn,Emergency,Das Haus brennt!,The house is burning!,—,—
